# Created on 2026-03-12 15:33:08.204556+01:00 (1773325988.204556 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 15.284, 514
5, 15.309, 507
4, 15.334, 508
5, 15.359, 508
4, 15.385, 501
5, 15.411, 507
4, 15.435, 495
5, 15.461, 507
4, 15.486, 489
5, 15.512, 507
4, 15.537, 484
5, 15.562, 507
4, 15.588, 479
5, 15.613, 508
4, 15.638, 476
5, 15.664, 507
4, 15.689, 473
5, 15.715, 507
4, 15.739, 473
5, 15.765, 507
4, 15.791, 474
5, 15.816, 507
4, 15.841, 477
5, 15.866, 508
4, 15.892, 480
5, 15.917, 507
4, 15.942, 484
5, 15.968, 507
4, 15.993, 490
5, 16.019, 506
4, 16.043, 497
5, 16.069, 507
4, 16.095, 503
5, 16.120, 508
4, 16.145, 509
5, 16.170, 507
4, 16.196, 516
5, 16.222, 507
4, 16.246, 521
5, 16.272, 508
4, 16.297, 525
5, 16.323, 507
4, 16.348, 528
5, 16.373, 507
4, 16.399, 530
5, 16.424, 507
4, 16.449, 531
5, 16.475, 507
4, 16.500, 530
5, 16.526, 507
4, 16.550, 527
5, 16.576, 508
4, 16.602, 523
5, 16.627, 507
4, 16.652, 519
5, 16.677, 508
4, 16.703, 513
5, 16.728, 507
4, 16.753, 507
5, 16.779, 507
4, 16.804, 500
5, 16.830, 507
4, 16.854, 494
5, 16.880, 507
4, 16.906, 489
5, 16.931, 507
4, 16.956, 483
5, 16.981, 507
4, 17.007, 480
5, 17.033, 507
4, 17.057, 476
5, 17.083, 508
4, 17.108, 475
5, 17.134, 507
4, 17.159, 475
5, 17.184, 507
4, 17.210, 476
5, 17.235, 508
4, 17.260, 478
5, 17.286, 507
4, 17.311, 482
5, 17.337, 503
4, 17.361, 486
5, 17.387, 508
4, 17.413, 492
5, 17.438, 507
4, 17.463, 498
5, 17.488, 508
4, 17.514, 504
5, 17.540, 507
4, 17.564, 511
5, 17.590, 507
4, 17.615, 516
5, 17.641, 507
4, 17.665, 521
5, 17.691, 507
4, 17.717, 525
5, 17.742, 507
4, 17.767, 528
5, 17.792, 507
4, 17.818, 529
5, 17.844, 507
4, 17.868, 529
5, 17.894, 508
4, 17.919, 528
5, 17.945, 507
4, 17.970, 526
5, 17.995, 507
4, 18.021, 522
5, 18.046, 507
4, 18.071, 517
5, 18.097, 507
4, 18.122, 512
5, 18.148, 507
4, 18.172, 506
5, 18.198, 508
4, 18.224, 499
5, 18.249, 507
4, 18.274, 494
5, 18.299, 507
4, 18.325, 488
5, 18.351, 508
4, 18.375, 484
5, 18.401, 508
4, 18.426, 480
5, 18.452, 508
4, 18.476, 477
5, 18.502, 508
4, 18.528, 476
5, 18.553, 507
4, 18.578, 477
5, 18.603, 508
4, 18.629, 477
5, 18.655, 507
4, 18.679, 480
5, 18.705, 507
4, 18.730, 483
5, 18.756, 508
4, 18.781, 488
5, 18.806, 507
4, 18.832, 494
5, 18.857, 507
4, 18.882, 500
5, 18.908, 507
4, 18.933, 505
5, 18.959, 507
4, 18.983, 511
5, 19.009, 507
4, 19.035, 516
5, 19.060, 507
4, 19.085, 521
5, 19.110, 507
4, 19.136, 524
5, 19.162, 508
4, 19.186, 527
5, 19.212, 508
4, 19.237, 529
5, 19.263, 507
4, 19.287, 528
5, 19.313, 507
4, 19.339, 527
5, 19.364, 507
4, 19.389, 524
5, 19.414, 507
4, 19.440, 520
5, 19.466, 507
4, 19.490, 515
5, 19.516, 507
4, 19.541, 511
5, 19.567, 507
4, 19.592, 505
5, 19.617, 508
4, 19.643, 499
5, 19.668, 507
4, 19.693, 494
5, 19.719, 508
4, 19.744, 488
5, 19.770, 507
4, 19.794, 484
5, 19.820, 507
4, 19.846, 481
5, 19.871, 507
4, 19.896, 478
5, 19.921, 507
4, 19.947, 477
5, 19.973, 507
4, 19.997, 478
5, 20.023, 508
4, 20.048, 479
5, 20.074, 507
4, 20.098, 481
5, 20.124, 508
4, 20.150, 485
5, 20.175, 507
4, 20.201, 490
5, 20.225, 507
4, 20.251, 495
5, 20.277, 507
4, 20.302, 501
5, 20.327, 507
4, 20.352, 506
5, 20.378, 507
4, 20.404, 512
5, 20.428, 508
4, 20.454, 516
5, 20.479, 508
4, 20.505, 521
5, 20.530, 507
4, 20.555, 524
5, 20.581, 507
4, 20.606, 527
5, 20.631, 507
4, 20.657, 527
5, 20.682, 508
4, 20.708, 526
5, 20.732, 508
4, 20.758, 524
5, 20.784, 508
4, 20.809, 522
5, 20.834, 508
4, 20.859, 519
5, 20.885, 507
4, 20.911, 514
5, 20.935, 507
4, 20.961, 509
5, 20.986, 508
4, 21.012, 503
5, 21.036, 508
4, 21.062, 498
5, 21.088, 507
4, 21.113, 492
5, 21.138, 508
4, 21.163, 488
5, 21.189, 507
4, 21.215, 485
5, 21.239, 508
4, 21.265, 480
5, 21.290, 507
4, 21.316, 478
5, 21.341, 508
4, 21.366, 478
5, 21.392, 507
4, 21.417, 479
5, 21.442, 507
4, 21.468, 481
5, 21.493, 507
4, 21.519, 483
5, 21.543, 508
4, 21.569, 486
5, 21.595, 508
4, 21.620, 491
5, 21.645, 507
4, 21.670, 496
5, 21.696, 507
4, 21.722, 501
5, 21.746, 507
4, 21.772, 507
5, 21.797, 507
4, 21.823, 511
5, 21.847, 508
4, 21.873, 516
5, 21.899, 507
4, 21.924, 520
5, 21.949, 507
4, 21.974, 524
5, 22.000, 507
4, 22.026, 525
5, 22.050, 508
4, 22.076, 526
5, 22.101, 507
4, 22.127, 525
5, 22.152, 508
4, 22.177, 524
5, 22.203, 507
4, 22.228, 521
5, 22.253, 508
4, 22.279, 517
5, 22.304, 508
4, 22.330, 512
5, 22.354, 508
4, 22.380, 508
5, 22.406, 508
4, 22.431, 502
5, 22.456, 507
4, 22.481, 497
5, 22.507, 508
4, 22.533, 492
5, 22.557, 507
4, 22.583, 488
5, 22.608, 508
4, 22.634, 484
5, 22.658, 508
4, 22.684, 481
5, 22.710, 507
4, 22.735, 479
5, 22.760, 507
4, 22.785, 479
5, 22.811, 508
4, 22.837, 479
5, 22.861, 508
4, 22.887, 481
5, 22.912, 508
4, 22.938, 485
5, 22.963, 508
4, 22.988, 488
5, 23.014, 508
4, 23.039, 492
5, 23.064, 507
4, 23.090, 497
5, 23.115, 508
4, 23.141, 502
5, 23.166, 507
4, 23.191, 507
5, 23.217, 507
4, 23.242, 512
5, 23.268, 508
4, 23.292, 517
5, 23.318, 508
4, 23.344, 520
5, 23.369, 508
4, 23.394, 522
5, 23.419, 508
4, 23.445, 524
5, 23.471, 507
4, 23.495, 525
5, 23.521, 507
4, 23.546, 524
5, 23.572, 508
4, 23.596, 522
5, 23.622, 508
4, 23.648, 519
5, 23.673, 508
4, 23.698, 516
5, 23.723, 508
4, 23.749, 512
5, 23.775, 508
4, 23.799, 506
5, 23.825, 508
4, 23.850, 502
5, 23.876, 508
4, 23.901, 497
5, 23.926, 508
4, 23.952, 492
5, 23.977, 508
4, 24.002, 488
5, 24.028, 507
4, 24.053, 485
5, 24.079, 507
4, 24.103, 482
5, 24.129, 507
4, 24.155, 480
5, 24.180, 507
4, 24.205, 480
5, 24.230, 507
4, 24.256, 481
5, 24.282, 507
4, 24.306, 483
5, 24.332, 507
4, 24.357, 485
5, 24.383, 508
4, 24.407, 489
5, 24.433, 508
4, 24.459, 493
5, 24.484, 507
4, 24.509, 498
5, 24.534, 507
4, 24.560, 503
5, 24.586, 508
4, 24.610, 508
5, 24.636, 508
4, 24.661, 512
5, 24.687, 508
4, 24.712, 516
5, 24.737, 508
4, 24.763, 519
5, 24.788, 508
4, 24.813, 522
5, 24.839, 509
4, 24.864, 523
5, 24.890, 508
4, 24.914, 523
5, 24.940, 508
4, 24.966, 522
5, 24.991, 508
4, 25.016, 521
5, 25.041, 508
4, 25.067, 518
5, 25.093, 508
4, 25.117, 514
5, 25.143, 508
4, 25.168, 511
5, 25.194, 507
4, 25.218, 505
5, 25.244, 508
4, 25.270, 500
5, 25.295, 508
4, 25.320, 496
5, 25.345, 508
4, 25.371, 492
5, 25.397, 507
4, 25.421, 488
5, 25.447, 507
4, 25.472, 485
5, 25.498, 507
4, 25.523, 482
5, 25.548, 508
4, 25.574, 481
5, 25.599, 508
4, 25.624, 481
5, 25.650, 508
4, 25.675, 483
5, 25.701, 508
4, 25.725, 484
5, 25.751, 507
4, 25.777, 487
5, 25.802, 507
4, 25.827, 490
5, 25.852, 507
4, 25.878, 495
5, 25.904, 508
4, 25.928, 499
5, 25.954, 507
4, 25.979, 504
5, 26.005, 508
4, 26.029, 508
5, 26.055, 508
4, 26.081, 513
5, 26.106, 507
4, 26.131, 516
5, 26.156, 507
4, 26.182, 519
5, 26.208, 508
4, 26.232, 521
5, 26.258, 508
4, 26.283, 522
5, 26.309, 508
4, 26.334, 522
5, 26.359, 507
4, 26.385, 521
5, 26.410, 508
4, 26.436, 520
5, 26.461, 507
4, 26.486, 517
5, 26.512, 507
4, 26.537, 513
5, 26.562, 507
4, 26.588, 509
5, 26.613, 507
4, 26.639, 505
5, 26.663, 507
4, 26.689, 501
5, 26.715, 509
4, 26.740, 496
5, 26.765, 508
4, 26.790, 492
5, 26.816, 507
4, 26.842, 488
5, 26.866, 507
4, 26.892, 485
5, 26.917, 507
4, 26.943, 484
5, 26.967, 507
4, 26.993, 482
5, 27.019, 507
4, 27.044, 483
5, 27.069, 507
4, 27.094, 484
5, 27.120, 507
4, 27.146, 486
5, 27.170, 507
4, 27.196, 489
5, 27.221, 508
4, 27.247, 492
5, 27.272, 507
4, 27.297, 496
5, 27.323, 507
4, 27.348, 501
5, 27.373, 508
4, 27.399, 504
5, 27.424, 507
4, 27.450, 510
5, 27.474, 508
