# Created on 2026-03-12 15:56:59.857791+01:00 (1773327419.857791 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
4, 13.864, 434
5, 13.889, 559
4, 13.915, 447
5, 13.940, 568
4, 13.965, 457
5, 13.991, 576
4, 14.016, 467
5, 14.042, 584
4, 14.066, 475
5, 14.092, 589
4, 14.118, 481
5, 14.143, 593
4, 14.168, 485
5, 14.193, 594
4, 14.219, 487
5, 14.245, 593
4, 14.269, 485
5, 14.295, 589
4, 14.320, 481
5, 14.346, 585
4, 14.371, 474
5, 14.396, 578
4, 14.422, 465
5, 14.447, 570
4, 14.472, 456
5, 14.498, 561
4, 14.523, 444
5, 14.549, 552
4, 14.573, 433
5, 14.599, 542
4, 14.624, 421
5, 14.650, 533
4, 14.675, 410
5, 14.700, 525
4, 14.726, 400
5, 14.751, 517
4, 14.777, 392
5, 14.802, 512
4, 14.827, 387
5, 14.853, 509
4, 14.878, 383
5, 14.903, 508
4, 14.929, 383
5, 14.954, 509
4, 14.980, 385
5, 15.004, 512
4, 15.030, 389
5, 15.056, 516
4, 15.081, 396
5, 15.106, 523
4, 15.131, 405
5, 15.157, 531
4, 15.183, 415
5, 15.207, 540
4, 15.233, 425
5, 15.258, 550
4, 15.284, 437
5, 15.309, 559
4, 15.334, 448
5, 15.360, 568
4, 15.385, 459
5, 15.410, 576
4, 15.435, 469
5, 15.461, 583
4, 15.487, 477
5, 15.511, 589
4, 15.537, 481
5, 15.562, 591
4, 15.588, 485
5, 15.613, 592
4, 15.638, 486
5, 15.664, 591
4, 15.689, 483
5, 15.714, 588
4, 15.740, 479
5, 15.765, 584
4, 15.791, 472
5, 15.815, 578
4, 15.841, 463
5, 15.867, 569
4, 15.892, 453
5, 15.917, 561
4, 15.942, 441
5, 15.968, 552
4, 15.994, 430
5, 16.018, 542
4, 16.044, 418
5, 16.069, 534
4, 16.095, 408
5, 16.120, 526
4, 16.145, 399
5, 16.171, 519
4, 16.196, 392
5, 16.221, 513
4, 16.246, 386
5, 16.272, 511
4, 16.298, 384
5, 16.322, 510
4, 16.348, 384
5, 16.373, 510
4, 16.399, 386
5, 16.424, 513
4, 16.449, 392
5, 16.475, 518
4, 16.500, 398
5, 16.525, 525
4, 16.551, 407
5, 16.576, 532
4, 16.602, 417
5, 16.626, 540
4, 16.652, 429
5, 16.678, 550
4, 16.703, 440
5, 16.728, 559
4, 16.753, 451
5, 16.779, 568
4, 16.805, 461
5, 16.829, 575
4, 16.855, 470
5, 16.880, 582
4, 16.906, 477
5, 16.931, 587
4, 16.956, 482
5, 16.982, 590
4, 17.007, 485
5, 17.032, 591
4, 17.058, 485
5, 17.083, 590
4, 17.109, 482
5, 17.133, 588
4, 17.159, 476
5, 17.184, 583
4, 17.210, 469
