# Created on 2026-03-12 16:04:06.822553+01:00 (1773327846.822553 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 12.065, 386
4, 12.091, 471
5, 12.116, 381
4, 12.142, 487
5, 12.167, 384
4, 12.192, 503
5, 12.218, 395
4, 12.243, 517
5, 12.268, 414
4, 12.294, 530
5, 12.319, 439
4, 12.345, 541
5, 12.369, 470
4, 12.395, 548
5, 12.421, 504
4, 12.446, 551
5, 12.471, 540
4, 12.496, 551
5, 12.522, 576
4, 12.548, 548
5, 12.572, 610
4, 12.598, 542
5, 12.623, 640
4, 12.649, 534
5, 12.674, 665
4, 12.699, 523
5, 12.725, 684
4, 12.750, 510
5, 12.775, 693
4, 12.800, 497
5, 12.826, 694
4, 12.852, 483
5, 12.876, 690
4, 12.902, 471
5, 12.927, 675
4, 12.953, 460
5, 12.978, 654
4, 13.003, 450
5, 13.029, 627
4, 13.054, 442
5, 13.079, 594
4, 13.105, 438
5, 13.130, 558
4, 13.156, 436
5, 13.180, 521
4, 13.206, 436
5, 13.232, 485
4, 13.257, 439
5, 13.282, 451
4, 13.307, 445
5, 13.333, 421
4, 13.359, 453
5, 13.383, 398
4, 13.409, 462
5, 13.434, 382
4, 13.460, 472
5, 13.485, 376
4, 13.510, 482
5, 13.536, 376
4, 13.561, 492
5, 13.586, 385
4, 13.611, 502
5, 13.637, 404
4, 13.663, 511
5, 13.687, 428
4, 13.713, 518
5, 13.738, 458
4, 13.764, 523
5, 13.789, 492
4, 13.814, 526
5, 13.840, 531
4, 13.865, 526
5, 13.890, 568
4, 13.916, 525
5, 13.941, 603
4, 13.967, 521
5, 13.991, 635
4, 14.017, 518
5, 14.043, 663
4, 14.068, 511
5, 14.093, 683
4, 14.118, 504
5, 14.144, 695
4, 14.170, 497
5, 14.194, 699
4, 14.220, 489
5, 14.245, 696
4, 14.271, 482
5, 14.296, 684
4, 14.321, 475
5, 14.347, 663
4, 14.372, 470
5, 14.398, 636
4, 14.422, 466
5, 14.448, 604
4, 14.474, 464
5, 14.499, 568
4, 14.524, 461
5, 14.549, 531
4, 14.575, 461
5, 14.601, 493
4, 14.625, 463
5, 14.651, 458
4, 14.676, 465
5, 14.702, 427
4, 14.727, 468
5, 14.752, 402
4, 14.778, 472
5, 14.803, 383
4, 14.828, 476
5, 14.854, 374
4, 14.879, 481
5, 14.905, 373
4, 14.929, 485
5, 14.955, 380
4, 14.981, 489
5, 15.006, 396
4, 15.031, 493
5, 15.056, 419
4, 15.082, 495
5, 15.108, 449
4, 15.132, 498
5, 15.158, 484
4, 15.183, 499
5, 15.209, 520
4, 15.234, 499
5, 15.259, 558
4, 15.285, 499
5, 15.310, 594
4, 15.335, 499
5, 15.360, 628
4, 15.386, 498
5, 15.412, 657
4, 15.436, 496
5, 15.462, 680
4, 15.487, 495
5, 15.513, 695
4, 15.538, 494
5, 15.563, 700
4, 15.589, 492
5, 15.614, 698
4, 15.639, 490
5, 15.665, 688
4, 15.690, 489
5, 15.716, 669
4, 15.740, 488
5, 15.766, 645
4, 15.792, 488
5, 15.817, 613
4, 15.842, 487
5, 15.867, 578
4, 15.893, 487
5, 15.919, 541
4, 15.943, 486
5, 15.969, 503
4, 15.994, 486
5, 16.020, 467
4, 16.045, 486
5, 16.070, 435
4, 16.096, 485
5, 16.121, 408
4, 16.146, 485
5, 16.171, 388
4, 16.197, 484
5, 16.223, 376
4, 16.247, 482
5, 16.273, 373
4, 16.298, 481
5, 16.324, 378
4, 16.349, 479
5, 16.374, 392
4, 16.400, 477
5, 16.425, 413
4, 16.450, 476
5, 16.476, 441
4, 16.501, 476
5, 16.527, 474
4, 16.551, 475
5, 16.577, 511
4, 16.603, 475
5, 16.628, 548
4, 16.653, 475
5, 16.678, 585
4, 16.704, 476
5, 16.730, 618
4, 16.754, 478
5, 16.780, 649
4, 16.805, 481
5, 16.831, 673
4, 16.856, 484
5, 16.881, 689
4, 16.907, 487
5, 16.932, 697
4, 16.957, 491
5, 16.982, 696
4, 17.008, 495
5, 17.034, 689
4, 17.058, 500
5, 17.084, 673
4, 17.109, 503
5, 17.135, 650
4, 17.160, 506
5, 17.185, 621
4, 17.211, 508
5, 17.236, 587
4, 17.261, 510
5, 17.287, 550
4, 17.312, 510
5, 17.338, 514
4, 17.362, 510
5, 17.388, 478
4, 17.414, 507
5, 17.439, 445
4, 17.464, 502
5, 17.489, 418
4, 17.515, 498
5, 17.541, 396
4, 17.565, 492
5, 17.591, 382
4, 17.616, 486
5, 17.642, 377
4, 17.667, 480
5, 17.692, 380
