# Created on 2026-03-12 15:44:28.043422+01:00 (1773326668.043422 s)
# baldaquin version: 0.10.0
# Creator: Pendulum View
# Pin number, Time [s], Position [a. u.]
5, 13.788, 497
4, 13.812, 506
5, 13.838, 490
4, 13.864, 505
5, 13.889, 484
4, 13.914, 506
5, 13.939, 479
4, 13.965, 505
5, 13.991, 475
4, 14.015, 506
5, 14.041, 472
4, 14.066, 505
5, 14.092, 472
4, 14.117, 506
5, 14.142, 473
4, 14.168, 505
5, 14.193, 477
4, 14.218, 505
5, 14.244, 481
4, 14.269, 506
5, 14.295, 487
4, 14.319, 505
5, 14.345, 493
4, 14.371, 506
5, 14.396, 500
4, 14.421, 505
5, 14.446, 508
4, 14.472, 505
5, 14.498, 516
4, 14.522, 506
5, 14.548, 523
4, 14.573, 505
5, 14.599, 529
4, 14.623, 505
5, 14.649, 533
4, 14.675, 506
5, 14.700, 537
4, 14.725, 505
5, 14.750, 539
4, 14.776, 506
5, 14.802, 540
4, 14.826, 505
5, 14.852, 539
4, 14.877, 506
5, 14.903, 536
4, 14.928, 506
5, 14.953, 531
4, 14.979, 506
5, 15.004, 526
4, 15.029, 506
5, 15.055, 519
4, 15.080, 506
5, 15.106, 512
4, 15.130, 505
5, 15.156, 504
4, 15.182, 505
5, 15.207, 497
4, 15.232, 506
5, 15.257, 490
4, 15.283, 505
5, 15.309, 484
4, 15.333, 506
5, 15.359, 479
4, 15.384, 506
5, 15.410, 476
4, 15.435, 505
5, 15.460, 474
4, 15.486, 506
5, 15.511, 474
4, 15.536, 505
5, 15.561, 475
4, 15.587, 505
5, 15.613, 478
4, 15.637, 506
5, 15.663, 481
4, 15.688, 505
5, 15.714, 488
4, 15.739, 505
5, 15.764, 494
4, 15.790, 505
5, 15.815, 501
4, 15.840, 505
5, 15.866, 508
4, 15.891, 505
5, 15.917, 515
4, 15.941, 506
5, 15.967, 523
4, 15.993, 506
5, 16.018, 528
4, 16.043, 506
5, 16.068, 532
4, 16.094, 506
5, 16.120, 536
4, 16.144, 506
5, 16.170, 539
4, 16.195, 505
5, 16.221, 538
4, 16.246, 506
5, 16.271, 537
4, 16.297, 506
5, 16.322, 534
4, 16.347, 507
5, 16.372, 530
4, 16.398, 506
5, 16.424, 524
4, 16.448, 505
5, 16.474, 518
4, 16.499, 505
5, 16.525, 511
4, 16.550, 506
5, 16.575, 504
4, 16.601, 505
5, 16.626, 497
4, 16.652, 506
5, 16.677, 491
4, 16.702, 505
5, 16.728, 485
4, 16.753, 506
5, 16.778, 481
4, 16.804, 505
5, 16.829, 478
4, 16.855, 506
5, 16.879, 475
4, 16.905, 505
5, 16.931, 475
4, 16.956, 505
5, 16.981, 476
4, 17.006, 505
5, 17.032, 479
4, 17.058, 506
5, 17.082, 483
4, 17.108, 505
5, 17.133, 489
4, 17.159, 505
5, 17.183, 495
4, 17.209, 506
5, 17.235, 501
4, 17.260, 506
5, 17.285, 508
4, 17.310, 506
5, 17.336, 515
4, 17.362, 506
5, 17.386, 522
4, 17.412, 505
5, 17.437, 527
4, 17.463, 506
5, 17.488, 532
4, 17.513, 506
5, 17.539, 534
4, 17.564, 506
5, 17.589, 536
4, 17.615, 506
5, 17.640, 537
4, 17.666, 506
5, 17.690, 535
4, 17.716, 506
5, 17.742, 533
4, 17.767, 506
5, 17.792, 529
4, 17.817, 506
5, 17.843, 523
4, 17.869, 506
5, 17.893, 517
4, 17.919, 506
5, 17.944, 511
4, 17.970, 506
5, 17.995, 504
4, 18.020, 505
5, 18.046, 497
4, 18.071, 505
5, 18.096, 491
4, 18.121, 506
5, 18.147, 485
4, 18.173, 506
5, 18.197, 481
4, 18.223, 505
5, 18.248, 478
4, 18.274, 505
5, 18.299, 477
4, 18.324, 506
5, 18.350, 477
4, 18.375, 506
5, 18.400, 477
4, 18.426, 506
5, 18.451, 480
4, 18.477, 506
5, 18.501, 484
4, 18.527, 505
5, 18.553, 489
4, 18.578, 506
5, 18.603, 495
4, 18.628, 506
5, 18.654, 502
4, 18.680, 506
5, 18.704, 508
4, 18.730, 506
5, 18.755, 515
4, 18.781, 506
5, 18.806, 521
4, 18.831, 506
5, 18.857, 526
4, 18.882, 506
5, 18.907, 530
4, 18.932, 506
5, 18.958, 533
4, 18.984, 506
5, 19.008, 535
4, 19.034, 506
5, 19.059, 535
4, 19.085, 506
5, 19.110, 534
4, 19.135, 506
5, 19.161, 532
4, 19.186, 505
5, 19.211, 528
4, 19.237, 506
5, 19.262, 522
4, 19.288, 505
5, 19.312, 516
4, 19.338, 505
5, 19.364, 510
4, 19.389, 505
5, 19.414, 504
4, 19.439, 506
5, 19.465, 497
4, 19.491, 505
5, 19.515, 491
4, 19.541, 505
5, 19.566, 487
4, 19.592, 505
5, 19.617, 483
4, 19.642, 506
5, 19.668, 479
4, 19.693, 505
5, 19.719, 478
4, 19.743, 506
5, 19.769, 478
4, 19.795, 505
5, 19.820, 479
4, 19.845, 505
5, 19.870, 481
4, 19.896, 505
5, 19.922, 486
4, 19.946, 505
5, 19.972, 490
4, 19.997, 505
5, 20.023, 496
4, 20.048, 506
5, 20.073, 502
4, 20.099, 506
5, 20.124, 509
4, 20.149, 505
5, 20.175, 515
4, 20.200, 505
5, 20.226, 521
4, 20.250, 505
5, 20.276, 526
4, 20.302, 506
5, 20.327, 530
4, 20.352, 506
5, 20.377, 532
4, 20.403, 506
5, 20.429, 534
4, 20.453, 505
5, 20.479, 534
4, 20.504, 506
5, 20.530, 532
4, 20.555, 506
5, 20.580, 530
4, 20.606, 506
5, 20.631, 526
4, 20.656, 506
5, 20.681, 521
